Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career
3,3,3,3,4,5,2,3,3,1,5,3,Dentist
2,3,3,2,4,4,2,4,3,3,4,4,Warehouse Manager
3,3,4,2,2,5,3,3,2,2,5,2,Lab Technician
5,4,5,2,2,5,5,3,2,1,3,4,Data Analyst
4,3,4,3,5,5,5,4,2,2,1,4,Lawyer
1,2,1,2,2,3,1,5,2,5,4,1,Delivery Rider
2,3,2,4,5,2,2,5,4,3,2,5,Sales Representative
3,3,3,2,5,5,4,4,3,4,4,2,Veterinarian
3,4,3,3,5,4,3,5,3,2,2,4,Hotel Manager
3,5,4,2,3,5,4,4,2,1,5,2,Network Administrator
3,4,4,2,3,5,3,4,1,1,2,3,Paralegal
2,3,1,2,3,4,3,3,1,3,5,3,Automotive Technician
5,3,3,2,3,5,5,5,3,2,5,2,Surgeon
4,3,4,3,5,5,5,4,3,2,2,4,Lawyer
3,4,3,1,3,5,3,5,2,5,5,4,Ship Captain
4,5,3,2,5,5,5,2,5,3,4,2,Professor
3,5,4,2,5,4,3,4,3,1,5,2,IT Support Specialist
3,3,3,5,5,2,3,5,4,3,3,5,Entrepreneur
2,5,5,5,3,4,2,5,1,2,3,3,Video Editor
4,4,4,2,3,5,4,3,2,1,5,2,Network Administrator
2,4,5,4,5,4,3,3,2,1,4,3,UX/UI Designer
3,3,3,2,4,5,3,3,2,1,4,3,Dentist
3,3,2,2,4,5,2,5,3,4,5,2,Military Personnel
4,3,3,3,2,4,4,3,3,4,5,3,Agricultural Engineer
5,5,5,2,3,4,4,5,2,1,4,3,DevOps Engineer
2,2,2,2,2,4,1,3,2,5,5,1,Heavy Equipment Operator
1,2,2,5,4,3,2,4,3,2,4,3,Musician
5,3,4,2,1,5,3,3,1,2,5,3,Electrical Engineer
5,5,5,3,2,4,4,4,2,1,4,2,Software Developer
2,2,3,3,5,3,2,4,3,2,2,4,Customer Service Manager
3,3,4,2,5,5,4,5,3,2,3,4,Operations Manager
1,3,1,4,4,3,3,4,3,2,4,3,Musician
3,3,3,1,4,4,3,4,3,5,4,3,Ship Captain
3,2,1,2,2,3,2,3,2,3,5,2,Welder
2,3,3,4,5,3,3,4,3,3,2,5,Real Estate Agent
3,3,4,5,4,4,3,5,3,4,4,4,Filmmaker
3,4,4,3,5,3,2,5,3,2,2,4,Hotel Manager
3,2,1,4,3,4,2,3,2,3,5,3,Carpenter
2,2,2,4,4,3,3,4,5,5,1,3,Tour Guide
2,3,4,2,3,5,2,3,3,1,1,3,Government Officer
5,4,5,1,2,5,5,5,2,1,4,3,Cybersecurity Specialist
4,1,1,3,1,4,2,3,1,3,4,1,Welder
3,3,3,3,4,4,3,3,5,2,2,2,Tutor
2,1,3,4,4,4,3,3,4,5,4,3,Forester
5,3,3,2,1,5,4,3,3,3,5,3,Structural Engineer
3,3,3,3,5,4,3,3,5,1,3,2,Teacher
2,3,3,3,5,4,3,4,3,3,2,5,Real Estate Broker
4,3,3,2,5,5,5,4,4,2,4,2,Doctor
3,5,4,2,5,4,3,4,3,1,5,2,IT Support Specialist
3,3,4,2,4,5,2,2,3,2,2,3,Government Officer
3,4,3,2,2,5,3,5,2,4,5,3,Pilot
2,3,3,3,5,3,1,4,4,2,2,4,Customer Service Manager
5,4,5,3,2,5,5,3,2,2,4,1,Physicist
4,3,4,3,4,5,5,4,2,1,3,3,Paralegal
5,5,5,3,2,5,5,4,2,1,3,4,AI/ML Engineer
2,3,3,3,5,3,2,4,3,3,1,5,Real Estate Agent
1,3,2,5,4,4,2,4,2,4,4,3,Photographer
3,3,3,2,3,4,4,2,3,5,5,3,Fisheries Specialist
2,3,4,3,5,5,5,3,4,2,2,2,Psychologist
2,2,3,4,4,5,3,2,5,2,2,1,Teacher
